,TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
394,"Rogéria, senhor Astolfo Barroso Pinto","Rogéria, senhor Astolfo Barroso Pinto",Pagu Pictures,10/31/2019,Brasil,Documentário,14,12,"15.550,34",981
395,Yara,Yara,Zeta Filmes,1/10/2019,Libano / Iraque / França,Drama,Livre,4,"15.435,62",1.079
396,De peito aberto,De peito aberto,Pagu Pictures,10/3/2019,Brasil,Documentário,10,18,"15.306,57",869
397,Inezita,Inezita,Distribuição Própria,3/28/2019,Brasil,Documentário,10,5,"14.915,94",859
398,Tsé,Tsé,Pagu Pictures,9/12/2019,Brasil,Documentário,10,9,"14.908,44",831
399,Diários de classe,Diários de classe,Elo Company,3/7/2019,Brasil,Documentário,12,23,"14.502,56",1.745
400,Eu sou brasileiro,Eu sou brasileiro,Elo Company,8/15/2019,Brasil,Drama,10,30,"14.237,90",1.502
401,O corpo é nosso,O corpo é nosso,O2 Play,9/5/2019,Brasil,Documentário,14,18,"14.135,42",1.226
402,Meu nome é Daniel,Meu nome é Daniel,Olhar Distribuição,10/17/2019,Brasil,Documentário,12,16,"14.131,65",1.581
403,Diamantino,Diamantino,Vitrine Filmes,12/20/2018,França/Brasil/portugal,Drama,14,16,"13.987,35",1.038
404,Horácio,Horácio,O2 Play,4/11/2019,Brasil,Comédia - Dramática,16,13,"13.857,50",821
405,Inferninho,Inferninho,Embaúba Filmes,5/23/2019,Brasil,Comédia - Dramática,12,10,"13.360,81",1.063
406,A quarta parede,A quarta parede,Elo Company,5/9/2019,Brasil,Drama,12,24,"13.336,05",1.551
407,Uma noite não é nada,Uma noite não é nada,Imovision,8/22/2019,Brasil,Drama,18,12,"13.290,13",888
408,Uma viagem inesperada,Viaje inesperado,Boulevard Filmes,3/28/2019,Argentina/ Brasil,Drama,14,13,"12.722,28",926
409,Luna,Luna,Cineart Filmes,10/10/2019,Brasil,Drama,14,14,"12.607,60",1.050
410,B.O.,B.O.,Raccord Produções,5/9/2019,Brasil,Comédia,14,6,"12.505,43",814
411,O incerto lugar do desejo,O incerto lugar do desejo,Elo Company,9/26/2019,Brasil,Documentário,12,1,"12.013,00",675
412,Homem livre,Homem livre,Olhar Distribuição,2/21/2019,Brasil,Drama,14,8,"10.939,72",1.163
413,Dois papas,The two popes,O2 Play,12/5/2019,Reino Unido / Itália / Argentina / EUA,Drama,12,2,"10.604,00",657
414,Tinta bruta,Tinta bruta,Vitrine Filmes,12/6/2018,Brasil,Drama,18,31,"10.349,58",1.144
415,Ainda temos a imensidão da noite,Ainda temos a imensidão da noite,Pandora,12/5/2019,Brasil,Drama,16,12,"10.158,87",697
416,Fourteen,Fourteen,Zeta Filmes,8/15/2019,EUA,Drama,12,5,"10.073,22",607
417,Diz a ela que me viu chorar,Diz a ela que me viu chorar,Vitrine Filmes,11/14/2019,Brasil,Documentário,16,11,"10.072,71",1.266
418,O Grande Circo Místico,O Grande Circo Místico,H2O Films,11/15/2018,Brasil/ Portugal,Drama,16,106,"9.941,87",701
419,Relatos do front - Fragmentos de uma tragédia brasileira,Relatos do front - Fragmentos de uma tragédia brasileira,Art House Movies,6/20/2019,Brasil,Documentário,14,7,"9.911,23",917
420,A princesa de Elymia,A princesa de Elymia,Panda Filmes,10/10/2019,Brasil,Animação,12,19,"9.793,75",790
421,De repente uma familia,Instant family,Paramount,11/29/2018,EUA,Comédia,12,429,"9.654,21",513
422,Abaixo a gravidade,Abaixo a gravidade,Fênix Filmes,8/1/2019,Brasil,Drama,16,11,"9.475,32",633
423,Dias vazios,Dias vazios,Olhar Distribuição,5/30/2019,Brasil,Drama,16,16,"9.348,22",539
424,As ineses,Las Ineses,Okna Produções,2/14/2019,Argentina/ Brasil,Comédia,10,6,"9.292,99",637
425,Eleições,Eleições,Olhar Distribuição,3/14/2019,Brasil,Documentário,12,6,"9.277,09",1.288
426,Lembro mais dos corvos,Lembro mais dos corvos,Vitrine Filmes,2/21/2019,Brasil,Documentário,14,13,"8.703,26",1.161
427,45 dias sem você,45 dias sem você,O2 Play,5/16/2019,Brasil,Comédia - Dramática,16,3,"8.591,99",835
428,Wajib - Um convite de casamento,Wajib,Distribuição Própria,1/24/2019,Palestina,Drama,12,0,"8.506,67",473
429,Depois do fim,Depois do fim,Lança Filmes,6/20/2019,Brasil,Documentário,Livre,2,"8.393,12",749
430,Foro íntimo,Foro íntimo,Embaúba Filmes,9/26/2019,Brasil,Drama,12,6,"8.280,03",660
431,A noite amarela,A noite amarela,Vitrine Filmes,10/10/2019,Brasil,Terror,12,13,"8.249,79",1.032
432,Os jovens Baumann,Os jovens Baumann,Vitrine Filmes,9/19/2019,Brasil,Drama,12,15,"8.104,40",1.155
433,Histórias estranhas,Histórias estranhas,Elo Company,5/23/2019,Brasil,Terror,16,24,"8.071,74",791
434,The cleaners,The cleaners,Distribuição Própria,3/28/2019,Alemanha/ Brasil,Documentário,16,2,"7.749,30",420
435,Antártica por um ano,Antártica por um ano,EH Filmes,5/16/2019,Brasil,Documentário,Livre,7,"7.316,65",423
436,Bio - Construindo uma vida,Bio - Construindo uma vida,Bretz Filmes,4/4/2019,Brasil,Drama,14,10,"7.295,32",390
437,Meu amor por Grace,Running for Grace,Elite Filmes/A2 Filmes,9/26/2019,EUA,Romance,12,6,"7.219,11",439
438,Entrevista com Deus,An interview with God,Imagem,11/15/2018,Ucrânia/ Holanda,Drama,Livre,249,"7.154,57",617
439,A turma do Pererê.doc,A turma do Pererê.doc,O2 Play,10/3/2019,Brasil,Documentário,10,13,"6.890,34",762
440,Rasga coração,Rasga coração,Sony,12/6/2018,Brasil,Drama,16,32,"6.707,25",400
441,Leste Oeste,Leste Oeste,Kinopus,8/8/2019,Brasil,Drama,14,10,"6.587,88",499
442,Alex câmera 10,Alex câmera 10,Moro Filmes,10/24/2019,Brasil,Documentário,Livre,12,"6.551,89",482
443,O homem que cuida,El hombre que cuida,Esfera,10/3/2019,República Dominicana/ Porto Rico/ Brasil,Drama,16,10,"6.504,83",422
444,Espero tua (re)volta,Espero tua (re)volta,Taturana Mobilização Social,8/15/2019,Brasil,Documentário,14,2,"6.440,68",581
445,A música do tempo - Do sonho do império ao império do sonho,A música do tempo - Do sonho do império ao império do sonho,Distribuição Própria,9/12/2019,Brasil,Documentário,Livre,6,"6.416,06",453
446,Uruguai na vanguarda,Uruguai na vanguarda,Distribuição Própria,9/19/2019,Brasil,Documentário,12,2,"6.363,66",466
447,Primeiro ano,Première année,A2 Filmes,4/11/2019,França,Drama,12,6,"6.327,85",529
448,Shade - Entre bruxas e heróis,Zlogonje,Cineart Filmes,1/24/2019,Sérvia,Aventura,12,10,"6.296,32",454
449,Encantado,Charming,Imagem,12/6/2018,Canadá/ EUA,Animação,Livre,602,"6.239,31",791
450,Palace II - 3 quartos com vista para o mar,Palace II - 3 quartos com vista para o mar,Pagu Pictures,7/18/2019,Brasil,Documentário,12,3,"5.714,23",290
451,O verde está do outro lado - Os donos da água,O verde está do outro lado - Os donos da água,Lira Filmes,8/22/2019,Brasil/ Chile,Documentário,10,9,"5.637,70",364
452,Ultraje,Ultraje,Elo Company,1/31/2019,Brasil,Documentário,12,26,"5.631,60",620
453,Vergel,Vergel,Art House Movies,2/7/2019,Argentina/ Brasil,Drama,16,5,"5.489,29",383
454,As cores da serpente,As cores da serpente,Salvador Filmes,3/21/2019,Angola,Documentário,12,4,"5.479,87",303
455,Um segredo em Paris,Drôles d'oiseaux,Pagu Pictures,11/15/2018,França,Comédia,12,25,"5.359,23",503
456,Meu mundial - Para vencer não basta jogar,Meu mundial - Para vencer não basta jogar,Bretz Filmes,9/19/2019,Uruguai,Drama,12,12,"5.198,75",331
457,Aconteceu na quarta-feira,Aconteceu na quarta-feira,Distribuição Própria,4/11/2019,Brasil,Comédia,14,1,"5.186,57",437
458,A serpente,A serpente,Distribuição Própria,7/25/2019,Brasil,Drama,12,2,"5.184,73",344
459,Onde quer que você esteja,Onde quer que você esteja,Boulevard Filmes,10/3/2019,Brasil,Drama,10,9,"5.159,76",361
460,Western stars,Western stars,Warner,12/5/2019,EUA,Documentário,10,25,"5.156,90",332
461,Zoravia,Zoravia,Distribuição Própria,3/28/2019,Brasil,Documentário,,1,"5.140,25",334
462,Aspirantes,Aspirantes,Ciclorama Filmes,11/28/2019,Brasil,Drama,14,11,"4.955,52",338
463,Intruso,Intruso,Pipa Produções,10/31/2019,Brasil,Suspense,12,10,"4.901,59",377
464,A pedra da serpente,A pedra da serpente,Elo Company,2/14/2019,Brasil,Ficção-científica,14,26,"4.821,80",551
465,Rindo à toa,Rindo à toa,Bretz Filmes,5/30/2019,Brasil,Documentário,14,10,"4.785,83",291
466,Um elefante sentado quieto,Da xiang xi di er zuo,Zeta Filmes,2/28/2019,China,Drama,14,2,"4.494,48",228
467,As viúvas,Widows,Fox,11/29/2018,EUA,Suspense,16,253,"4.375,66",271
468,Borrasca,Borrasca,Fênix Filmes,5/2/2019,Brasil,Drama,14,8,"4.358,11",767
469,Amor em jogo,Kicking out Shoshana,Elite Filmes/A2 Filmes,10/31/2019,Israel,Comédia,14,3,"4.275,30",257
470,Marés,Marés,Elo Company,9/12/2019,Brasil,Drama,16,22,"4.271,60",593
471,Neville D'Almeida - Cronista da beleza e do caos,Neville D'Almeida - Cronista da beleza e do caos,Fênix Filmes,7/4/2019,Brasil,Documentário,18,7,"4.193,46",303
472,A parte do mundo que me pertence,A parte do mundo que me pertence,Olhar Distribuição,5/9/2019,Brasil,Documentário,14,3,"4.184,03",286
473,Os caipiras em busca de um sonho,Os caipiras em busca de um sonho,Distribuição Própria,11/21/2019,Brasil,Comédia,Livre,1,"3.970,00",250
474,Zaatari - Memórias do labirinto,Zaatari - Memories of the labyrinth,Independente,5/30/2019,Brasil/Argentina,Documentário,12,2,"3.893,74",206
475,O Quebra-Nozes e os quatro reinos,The Nutcracker and the four realms,Disney,11/1/2018,EUA,Aventura,Livre,835,"3.794,88",419
476,Ambiente familiar,Ambiente familiar,Elo Company,9/26/2019,Brasil,Drama,12,24,"3.676,29",385
477,O último trago,O último trago,Lume,3/7/2019,Brasil,Drama,14,5,"3.612,57",296
478,Museu,Museo,Supo Mungam Films,11/8/2018,México,Drama,16,27,"3.140,00",306
479,Fernando,Fernando,Olhar Distribuição,11/28/2019,Brasil,Documentário,12,4,"3.040,00",182
480,O quebra-cabeça,Puzzle,Sony,11/15/2018,EUA,Drama,12,13,"2.977,50",191
481,Dê lembranças a todos - Dorival Caymmi,Dê lembranças a todos - Dorival Caymmi,Maff Distribuidora,11/22/2018,Brasil,Documentário,10,1,"2.874,50",307
482,Um homem comum,An ordinary man,Mares Filmes/A2 Filmes,11/29/2018,EUA/ Sérvia,Suspense,14,28,"2.862,66",277
483,A rosa azul de novalis,A rosa azul de novalis,Vitrine Filmes,12/19/2019,Brasil,Documentário,18,8,"2.772,64",457
484,Po,A boy called Po,Cineart Filmes,11/22/2018,EUA,Drama,10,8,"2.665,00",258
485,A prece,La prière,Imovision,11/8/2018,França,Drama,14,4,"2.594,00",231
486,Espírito de contradição,Espírito de contradição,Distribuição Própria,10/31/2019,Brasil,Documentário,Livre,0,"2.591,00",257
487,O primeiro homem,First man,Universal,10/18/2018,Ucrânia/ Holanda,Drama,12,468,"2.584,05",277
488,A garota na névoa,La ragazza nella nebbia,Mares Filmes/A2 Filmes,11/8/2018,Itália,Suspense,12,5,"2.425,00",268
489,Os príncipes,Os príncipes,Distribuição Própria,10/24/2019,Brasil,Drama,14,1,"2.320,21",133
490,Tudo por um popstar,Tudo por um popstar,DTF/Paris,10/11/2018,Brasil,Comédia,Livre,577,"2.274,98",209
491,Cinderela e o príncipe secreto,Cinderella 3D,Imagem,10/11/2018,EUA,Animação,Livre,323,"2.262,38",122
492,Novas espécies,Novas espécies,Elo Company,11/28/2019,Brasil,Documentário,Livre,2,"2.047,74",106
493,Um dia para Susana,Um dia para Susana,Vitrine Filmes,10/3/2019,Brasil,Documentário,10,3,"1.998,56",124
494,Carta registrada,Certified mail,A2 Filmes,12/19/2019,Egito,Drama,12,6,"1.943,02",135
495,Cine São Paulo,Cine São Paulo,Taturana Mobilização Social,11/7/2019,Brasil,Documentário,Livre,2,"1.826,00",127
496,2 outonos e 3 Invernos,2 automnes 3 hivers,Fênix Filmes,12/6/2018,França,Comédia,14,3,"1.788,00",149
497,Minha filha,Figlia mia,Imovision,10/11/2018,Itália,Drama,14,18,"1.712,00",159
498,A cabeça de Gumercindo Saraiva,A cabeça de Gumercindo Saraiva,Elo Company,10/25/2018,Brasil,Drama,12,22,"1.676,00",178
499,A voz do silêncio,A voz do silêncio,Imovision,11/22/2018,Brasil,Drama,16,20,"1.588,00",215
500,Teatros no Brasil,Teatros no Brasil,Distribuição Própria,8/22/2019,Brasil,Documentário,Livre,6,"1.524,49",90
501,Blitz,Blitz,Pandora,6/27/2019,Brasil,Drama,14,1,"1.461,00",138
502,Amigos alienígenas,Luis and the aliens,Playarte,10/25/2018,Alemanha/ Dinamarca,Animação,Livre,185,"1.452,85",143
503,Vida em movimento,Vida em movimento,Distribuição Própria,3/28/2019,Brasil,Documentário,Livre,1,"1.398,00",71
504,Elegia de um crime,Elegia de um crime,Vitrine Filmes,3/14/2019,Brasil,Documentário,14,0,"1.392,24",132
505,Jessica forever,Jessica forever,Zeta Filmes,10/10/2019,França,Drama,16,3,"1.361,79",95
506,Utøya - 22 de julho,U - July 22,California,11/29/2018,Noruega,Drama,16,5,"1.342,86",129
507,A casa que Jack construiu,The house that Jack built,California,11/1/2018,Dinamarca/ França,Terror,18,36,"1.308,00",206
508,Verão,Leto,Imovision,11/15/2018,Russia,Biografia,14,13,"1.296,00",108
509,O chalé é uma ilha batida de vento e chuva,O chalé é uma ilha batida de vento e chuva,Bretz Filmes,4/4/2019,Brasil,Documentário,Livre,1,"1.274,86",77
510,Mama colonel,Maman Colonelle,Vilacine,11/7/2019,Congo / França,Documentário,14,5,"1.240,45",88
511,Fogo contra fogo,Kalushi - The story of Solomon Mahlangu,Elite Filmes/A2 Filmes,11/21/2019,África do Sul,Biografia,16,6,"1.224,90",120
512,O ódio que você semeia,The hate u give,Fox,12/6/2018,EUA,Drama,14,17,"1.194,42",123
513,Filme paisagem - Um olhar sobre Roberto Burle Marx,Filme paisagem - Um olhar sobre Roberto Burle Marx,Elo Company,11/15/2018,Brasil,Documentário,Livre,5,"1.095,64",73
514,Caminhos magnétykos,Caminhos magnétykos,Esfera,9/26/2019,Portugal/França/Brasil,Drama,14,3,"1.081,51",74
515,Estação do diabo,Ang panahon ng halimaw,Zeta Filmes,1/31/2019,Filipinas,Musical,,1,"1.075,95",89
516,António um dois três,António um dois três,Olhar Distribuição,3/28/2019,Portugal,Drama,14,1,"991,02",92
517,Slam - Voz de levante,Slam - Voz de levante,Pagu Pictures,11/22/2018,Brasil/ EUA,Documentário,12,10,"975,00",100
518,Ama-san,Ama-san,Terratreme,1/10/2019,Portugal,Documentário,Livre,0,"965,03",60
519,O irlandês,The Irishman,O2 Play,11/14/2019,EUA,Drama,16,0,"951,40",48
520,A mata negra,A mata negra,Distribuição Própria,12/6/2018,Brasil,Terror,16,23,"914,00",119
521,Diante dos meus olhos,Diante dos meus olhos,Pique-Bandeira Filmes,12/5/2019,Brasil,Documentário,12,2,"905,00",64
522,Exterminadores do além - Contra a loira do banheiro,Exterminadores do além - Contra a loira do banheiro,Galeria Distribuidora,11/29/2018,Brasil,Comédia,16,349,"806,74",129
523,Henfil,Henfil,O2 Play,12/6/2018,Brasil,Documentário,12,24,"706,48",105
524,Excelentíssimos,Excelentíssimos,Vitrine Filmes,11/22/2018,Brasil,Documentário,Livre,3,"690,00",139
525,Meu tricolor de aço,Meu tricolor de aço,Estação Luz Filmes,12/6/2018,Brasil,Documentário,Livre,17,"649,06",50
526,Intimidade entre estranhos,Intimidade entre estranhos,Galeria Distribuidora,12/13/2018,Brasil,Drama,14,44,"564,00",47
527,Liberdade é uma grande palavra,Liberdade é uma grande palavra,Elo Company,12/5/2019,Brasil / Uruguai,Documentário,12,0,"322,56",41
528,O fio da meada,O fio da meada,Distribuição Própria,9/26/2019,Brasil,Ação,14,1,"186,86",14
529,A palavra,A palavra,California,3/7/2019,Brasil,Drama,Livre,0,"62,72",15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,"2.798.274.902,43",177.317.232
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,André Rieu - Vamos dançar?,Shall We Dance?,Distribuição Própria,11/7/2019,Holanda,Musical,Livre,51,"60.240,26",2.616
,BTS - Bring The Soul: The Movie,BTS - Bring The Soul: The Movie,Cinemark,8/7/2019,Coréia do Sul,Musical,12,753,"2.006.755,38",101.241
,BTS - Burn The Stage: The Movie,BTS - Burn The Stage: The Movie,Cinemark,11/15/2018,Coréia do Sul,Documentário,10,0,"298,53",7
,BTS - Love Yourself Tour In Seoul,BTS - Love Yourself Tour In Seoul,Cinemark,1/26/2019,Coréia do Sul,Musical,12,818,"1.508.330,54",64.485
,Roger Waters: Us Plus Them,Roger Waters: Us Plus Them,Cinemark,10/3/2019,EUA,Musical,10,1,"153.288,74",7.085
,Madonna + The Breakfast Club,Madonna + The Breakfast Club,Cinemark,8/16/2019,EUA,Documentário,,42,"24.736,30",1.183
,Metallica & San Francisco Symphony: S&M2,Metallica & San Francisco Symphony: S&M2,Distribuição Própria,10/9/2019,EUA,Musical,12,292,"318.980,39",15.853
,Slayer: The Repentless Killogy,Slayer: The Repentless Killogy,Distribuição Própria,11/6/2019,EUA,Musical,12,43,"44.274,22",2.181
,Kanye: Jesus Is King,Kanye: Jesus Is King,Imax,11/28/2019,EUA,Musical,Livre,7,"36.535,36",1.494
,Soundgarden: Live from the Artists Den,Soundgarden: Live from the Artists Den,Imax,7/1/2019,EUA,Musical,,37,"8.833,71",307
,Roberto Carlos em Jerusalém,Roberto Carlos em Jerusalém,H2O Films,12/2/2019,Brasil,Musical,Livre,172,"1.397.146,96",72.577
,Aparecida - Um Musical,Aparecida - Um Musical,Distribuição Própria,10/12/2019,Brasil,Musical,Livre,93,"25.018,18",1.525
,,,,,,,,,,
,Anima Mundi 2019,Anima Mundi 2019,Festivais,7/17/2019,Brasil,Alternativo,,36,"30.821,56",3.235
,Festivais e Mostras 2017,Festivais e Mostras 2017,Festivais,1/1/2017,Brasil,Diversos,,0,"31.320,93",937
,Festivais e Mostras 2018,Festivais e Mostras 2018,Festivais,1/1/2018,Brasil,Diversos,,0,"56.817,64",6.007
,Festivais e Mostras 2019,Festivais e Mostras 2019,Festivais,1/3/2019,Brasil,Diversos,,0,"1.063.187,64",69.190
,Festival do Rio,Festival do Rio,Festivais,9/1/2010,Brasil,,,0,"479,71",49
,Festival do Rio 2018,Festival do Rio 2018,Festivais,11/1/2018,Brasil,Diversos,,0,"91.913,32",5.576
,Festival do Rio 2019,Festival do Rio 2019,Festivais,12/9/2019,Brasil,Diversos,,22,"128.103,90",12.893
,Festival é tudo verdade 2019,Festival é tudo verdade 2019,Distribuição Própria,4/4/2019,Brasil,Diversos,,0,"17,07",4.242
,Festival Hell de Janeiro 2019,Festival Hell de Janeiro 2019,Distribuição Própria,9/19/2019,Brasil,Horror,,5,"5.484,20",354
,Festival Internacional de Curitiba 2019,Festival Internacional de Curitiba 2019,Independente,6/5/2019,Brasil,,,3,"42.428,55",6.756
,Festival Italiano 2018,Festival Italiano 2018,Distribuição Própria,7/5/2018,Itália,Diversos,,0,"6.236,10",396
,Festival Italiano 2019,Festival Italiano 2019,Festivais,8/8/2019,Itália,Diversos,,19,"103.243,35",9.440
,Festival MIMO 2019,Festival MIMO 2019,Distribuição Própria,11/28/2019,Brasil,Musical,Livre,1,"0,00",1.038
,FICI 2019 - Fest. Int. Cin. Inf.,FICI 2019 - Fest. Int. Cin. Inf.,FICI - Fest. Int. Cin. Inf.,10/18/2019,Brasil,Infantil,Livre,3,"12.285,00",1.033
,"FIM - Festival int, mulheres no cinema","FIM - Festival int, mulheres no cinema",Distribuição Própria,7/4/2018,Brasil,Diversos,,0,"177,69",11
,Mostra Aventuras do Cinema Mudo,Mostra Aventuras do Cinema Mudo,Distribuição Própria,9/19/2019,Brasil,Diversos,,9,"1.585,16",200
,Mostra Cinema Negro 2019,Mostra Cinema Negro 2019,Distribuição Própria,10/23/2019,Brasil,Diversos,,0,"5.059,23",3.562
,41ª Mostra Internacional de Cinema SP 2017,41ª Mostra Internacional de Cinema SP 2017,Festival Filmes,10/20/2017,Brasil,Diversos,,0,"613,36",84
,43ª Mostra Internacional de Cinema SP 2019,43ª Mostra Internacional de Cinema SP 2019,Distribuição Própria,10/17/2019,Brasil,Diversos,,67,"508.559,83",47.431
,Mostra Internacional SP,Mostra Internacional SP,Festivais,10/22/2010,Brasil,,,0,"4.077,84",296
,,,,,,,,,,
,,,,,,,,,,
,Balé 2018,Balé 2018,Distribuição Própria,1/1/2018,Brasil,Balé,,0,"3.099,14",146
,Balé 2019,Balé 2019,Distribuição Própria,1/1/2019,Brasil,Balé,,0,"146.695,71",6.491
,Dom Quixote (Balé),Dom Quixote (Balé),Mobz,1/1/2011,Brasil,Alternativo,,0,"34.682,69",1.585
,Óperas,Óperas,Mobz,1/1/2007,Brasil,Musical,10,0,"4.039,89",293
,Ópera na tela 2018,Ópera na tela 2018,Distribuição Própria,1/1/2018,Brasil,Ópera,,0,"781,44",64
,Ópera na tela 2019,Ópera na tela 2019,Distribuição Própria,2/1/2019,Brasil,Ópera,,0,"13.986,10",956
,,,,,,,,,,
,"Iluminado, O",The Shining,Park Circus,10/29/2019,EUA,Terror,,133,"96.849,77",7.477
,De volta para o futuro,Back to the Future,Park Circus,2/28/2015,EUA,Aventura,,77,"27.914,50",2.422
,Pulp Fiction - tempo de violência, Pulp Fiction,Park Circus,6/22/2016,EUA,Policial,,14,"15.651,63",2.172
,Indiana Jones e Os Caçadores da Arca Perdida,Indiana Jones and the Raiders of the Lost Ark,Park Circus,6/4/2015,EUA,Aventura,,56,"7.389,18",1.184
,"Carlota Joaquina, Princesa do Brasil","Carlota Joaquina, Princesa do Brasil",Park Circus,10/8/2015,Brasil,Drama,,52,"4.084,00",1.021
,"Exterminador do Futuro, O",The Terminator,Park Circus,1/1/2014,EUA,Ficção-científica,,0,"530,00",53
,Thelma & Louise,Thelma & Louise,Park Circus,3/31/2016,EUA,Comédia,,100,"405,00",135
,Psicose,Psycho,Park Circus,1/31/2015,EUA,Suspense,,84,"324,86",74
,Matrix,Matrix,Warner,10/17/2015,EUA,Ação,,70,"277.165,13",18.547
,,,,,,,,,,
,Friends - Festival 25 anos,Friends 25th The One With The Anniversary,Warner,10/14/2019,EUA,Comédia,12,301,"407.967,61",30.793
,,,,,,,,,,
,"Gloob Apresenta: Miraculous, as Aventuras de Ladybug","Miraculous, les aventures de Ladybug et Chat Noir",Cinemark,8/24/2019,França,Animação,Livre,51,"196.839,10",10.665
,,,,,,,,,,
,,,,,,,,,,
,Show / Esporte,Show / Esporte,Show/Esporte,1/1/2012,,,,0,"57.488,46",5.805
,League of Legends 2019,League of Legends 2019,Distribuição Própria,11/10/2019,Brasil,Jogos,Livre,38,"16.875,48",647
,Super Bowl 2019,Super Bowl 2019,Distribuição Própria,2/3/2019,EUA,Esporte,Livre,265,"374.774,51",10.173
,Final da Copa Libertadores 2019,Final da Copa Libertadores 2019,Esporte,11/23/2019,Brasil,Evento Esportivo,Livre,78,"295.100,07",8.274
,Final UEFA 2019,Final UEFA 2019,Distribuição Própria,6/1/2019,Brasil,Evento Esportivo,Livre,439,"605.717,82",17.085
,,,,,,,,,,
,,,,,,,,,"10.265.212,74",569.346