Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,Semana
1,Homem-Aranha - Sem volta para casa,Sony,EUA,12/16/2021,2.974,709,3,11.962.988
2,Velozes e furiosos 9,Universal,EUA,6/24/2021,2.041,585,26,4.258.157
3,Eternos,Disney,EUA,11/4/2021,2.158,666,9,4.156.487
4,Venom - Tempo de carnificina,Sony,EUA,10/7/2021,1.867,614,12,4.088.242
5,Shang-Chi e a lenda dos dez anéis,Disney,EUA,9/2/2021,1.728,637,14,2.227.412
6,Viúva Negra,Disney,EUA,7/8/2021,1.699,565,25,2.010.901
7,Invocação do mal 3 - A ordem do demônio,Warner,EUA,6/3/2021,1.239,480,28,1.845.058
8,"Esquadrão Suicida, O",Warner,EUA,8/5/2021,1.745,668,16,1.395.871
9,Encanto,Disney,EUA,11/25/2021,1.259,622,6,1.320.414
10,Mulher-Maravilha 1984,Warner,EUA,12/17/2020,2.034,546,52,1.156.434
11,007 - Sem tempo para morrer,Universal,EUA,9/30/2021,1.894,641,13,1.097.031
12,Space jam - Um novo legado,Warner,EUA,7/15/2021,976,598,25,913.775
13,"Croods 2 - Uma nova era, Os",Universal,EUA,7/1/2021,1.151,579,26,859.242
14,Duna,Warner,Canadá,10/21/2021,1.047,621,11,827.087
15,Godzilla vs Kong,Warner,EUA,5/6/2021,1.011,431,25,802.118
16,Patrulha Canina - O filme,Paramount,EUA,9/9/2021,826,495,15,777.949
17,"Poderoso chefinho 2 - Negócios da família, O",Universal,EUA,8/12/2021,1.188,662,20,708.621
18,"Família Addams 2 - Pé na estrada, A",Universal,EUA,10/28/2021,1.056,637,8,705.443
19,Matrix Resurrections,Warner,EUA,12/22/2021,788,561,3,642.231
20,"Lugar silencioso - Parte II, Um",Paramount,EUA,7/22/2021,1.165,569,10,618.992
21,Cruella,Disney,EUA,5/27/2021,825,351,29,606.694
22,Tom & Jerry - O filme,Warner,EUA,2/18/2021,1.148,577,42,506.526
23,Ghostbusters - Mais além (2021),Sony,EUA,11/18/2021,1.204,562,6,503.237
24,Free Guy - Assumindo o controle,Disney,EUA,8/19/2021,1.084,570,17,461.667
25,Harry Potter e a pedra filosofal,Warner,EUA,11/23/2001,0,0,0,430.756
26,Casa Gucci,Universal,EUA,11/25/2021,709,483,6,424.424
27,Halloween kills - O terror continua,Universal,EUA,10/14/2021,787,601,6,419.596
28,Marighella,DT/Paris,Brasil,11/4/2021,340,281,9,319.541
29,Rogai por nós,Sony,EUA,5/6/2021,453,314,8,294.205
30,Jungle Cruise,Disney,EUA,7/29/2021,835,501,17,289.304
31,Resident Evil - Bem-vindo a Raccoon City,Sony,EUA,12/2/2021,739,555,5,282.658
32,Pinóquio (2021),Imagem,Itália,1/21/2021,550,407,20,271.607
33,Legado explosivo,Imagem/California,EUA,1/7/2021,574,418,19,266.632
34,Mortal Kombat,Warner,Canadá,5/20/2021,919,488,10,257.811
35,Maligno,Warner,EUA,9/9/2021,857,563,5,255.075
36,Infiltrado,Imagem,EUA,8/26/2021,685,461,7,249.637
37,Ron bugado,Disney,EUA,10/21/2021,855,505,7,239.857
38,"Homem nas trevas 2, O",Sony,EUA,8/12/2021,707,454,8,224.080
39,Monster Hunter,Sony,EUA,2/25/2021,743,438,12,190.998
40,Clifford - O gigante cão vermelho,Paramount,EUA,12/2/2021,540,427,5,189.741
41,Escape room 2 - Tensão máxima,Sony,EUA,9/16/2021,649,481,5,185.771
42,Tempo,Universal,EUA,7/29/2021,499,374,16,177.716
43,After - Depois do desencontro (2021),Diamond/Galeria,EUA,9/2/2021,645,523,6,170.186
44,Pedro Coelho 2 - O fugitivo,Sony,EUA,8/26/2021,734,505,16,168.234
45,Ainbo - A guerreira da Amazônia,Paris,Peru,9/30/2021,504,373,13,148.816
46,"Casa sombria, A",Disney,EUA,9/23/2021,547,385,6,133.181
47,Trolls 2,Universal,EUA,12/3/2020,728,453,15,132.859
48,Espiral - O legado de Jogos Mortais,Paris,EUA,6/17/2021,499,382,4,118.791
49,Spirit - O indomável,Universal,EUA,6/10/2021,564,438,24,110.571
50,"Lenda de Candyman, A",Universal,EUA,8/26/2021,546,400,10,107.060
51,"Mensageiro do último dia, O",Disney,EUA,1/14/2021,268,228,16,103.451
52,"Viúva das sombras, A",Paris,Rússia,3/4/2021,398,324,19,97.264
53,Espíritos obscuros,Disney,EUA,10/28/2021,417,296,6,95.107
54,Deus não está morto - O próximo capítulo,California,EUA,11/11/2021,325,252,6,89.137
55,Mate ou morra,Imagem,EUA,9/16/2021,540,442,7,89.086
56,Raya e o último dragão,Disney,EUA,3/4/2021,373,254,41,88.289
57,Missão resgate,Imagem,EUA,12/9/2021,476,376,2,86.651
58,#Semsaída,Playarte,Reino Unido,2/11/2021,334,279,14,81.364
59,Demon Slayer - Mugen Train: O filme,Cinecolor,Japão,5/13/2021,386,275,10,80.467
60,"Tio quase perfeito 2, Um",H2O Films,Brasil,1/7/2021,436,321,9,78.015
61,"Sogra perfeita, A",DT/Paris,Brasil,11/25/2021,406,315,4,66.869
62,Fátima - A história de um milagre,Diamond/Galeria,EUA,10/14/2021,308,279,9,62.934
63,Mundo em caos,Paris,EUA,5/13/2021,405,321,6,61.178
64,"Último duelo, O",Disney,EUA,10/14/2021,328,282,6,59.345
65,Turma da Mônica - Lições,DT/Paris,Brasil,12/30/2021,968,553,1,59.176
66,Dupla explosiva 2 e a primeira-dama do crime,Paris,EUA,7/29/2021,411,334,8,58.713
67,Sapatinho vermelho e os sete anões,Paris,EUA,12/31/2020,518,404,12,55.967
68,Em guerra com o vovô,Diamond/Galeria,EUA,5/20/2021,461,271,5,54.920
69,Destruição final - O último refúgio,Diamond/Galeria,EUA,11/19/2020,532,418,24,54.631
70,King Richard - Criando campeãs,Warner,EUA,12/2/2021,358,289,5,52.072
71,"Noite de crime - A fronteira, Uma",Universal,EUA,9/2/2021,176,151,7,47.838
72,Noite passada em Soho,Universal,Reino Unido,11/18/2021,312,260,5,47.267
73,"Profissional, A",Imagem,EUA,11/11/2021,347,294,5,41.407
74,Estranho passageiro - Sputnik,Playarte,Rússia,1/21/2021,272,220,14,40.861
75,Nomadland,Disney,EUA,4/29/2021,128,108,24,33.454
76,Amizade maldita,Imagem,Canadá,12/3/2020,376,314,17,32.084
77,Caminhos da memória,Warner,EUA,8/19/2021,348,270,3,30.695
78,"Amor, sublime amor",Disney,EUA,12/9/2021,365,269,4,29.859
79,No ritmo do coração,Diamond,EUA,9/23/2021,396,342,5,27.751
80,"Crônica francesa, A",Disney,EUA,11/18/2021,58,47,7,27.540
81,Alice e Peter - Onde nascem os sonhos,Imagem,EUA,6/3/2021,274,227,4,27.517
82,Convenção das bruxas,Warner,EUA,11/19/2020,568,472,27,27.478
83,Aqueles que me desejam a morte,Warner,Canadá,5/27/2021,235,212,5,27.409
84,"Babá - O chamado das sombras, A",Playarte,Rússia,12/9/2021,185,156,3,26.602
85,Blackpink the movie,Distribuição Própria,Coréia do Sul,7/29/2021,154,144,3,26.276
86,Amarração do amor,DT/Paris,Brasil,10/14/2021,293,211,3,25.826
87,Scooby! O Filme,Warner,EUA,9/10/2020,110,89,66,25.206
88,"Abelhinha Maya - E o ovo dourado, A",Playarte,Alemanha,9/23/2021,492,361,8,24.555
89,Bela vingança,Universal,Reino Unido,5/13/2021,113,97,22,22.156
90,Meu pai,California,Reino Unido,4/8/2021,12,8,20,21.459
91,Família monstro 2,Paris,EUA,12/9/2021,346,271,4,19.885
92,Festival Varilux 2021,Festival Varilux,França,11/24/2021,2,2,5,18.262
93,"Pequenos vestígios, Os",Warner,EUA,4/22/2021,107,87,12,17.116
94,Lucicreide vai pra Marte,DT/Paris,Brasil,3/18/2021,51,45,8,15.004
95,Chernobyl: O filme - Os segredos do desastre,Paris,Rússia,11/18/2021,148,129,2,14.865
96,45ª Mostra Internacional de Cinema SP 2021,Distribuição Própria,Brasil,10/21/2021,14,8,9,14.710
97,Dois + dois,DT/Paris,Brasil,8/12/2021,193,163,3,14.504
98,Matrix (1999),Warner,EUA,10/17/2015,70,46,322,14.064
99,Quem vai ficar com Mário?,DT/Paris,Brasil,6/10/2021,174,131,7,13.858
100,Mostra-me o Pai,360 WayUp,EUA,12/2/2021,91,84,4,13.561
101,Depois a louca sou eu,DT/Paris,Brasil,2/25/2021,199,163,10,13.486
102,Querido Evan Hansen,Universal,EUA,11/11/2021,224,195,5,11.830
103,"Auto da boa mentira, O",Imagem,Brasil,4/29/2021,204,190,10,11.690
104,Em um bairro de Nova York,Warner,EUA,6/17/2021,188,167,6,10.739
105,"Lutar, lutar, lutar",Embaúba Filmes,Brasil,11/11/2021,24,22,8,10.587
106,Vigaristas em Hollywood,Paris,EUA,12/2/2021,250,198,2,10.424
107,Judas e o Messias Negro,Warner,EUA,2/25/2021,86,72,39,10.104
108,Freaky - No corpo de um assassino,Universal,EUA,12/10/2020,495,321,12,9.989
109,"Senhor dos anéis - A sociedade do anel, O",Warner,EUA/ Nova Zelândia/ Reino Unido,1/1/2002,0,0,0,9.146
110,"Mensageira, A",Playarte,Reino Unido,10/28/2021,95,83,2,7.619
111,Cry macho - O caminho para a redenção,Warner,EUA,9/16/2021,20,20,7,7.611
112,Veneza,Imagem,Brasil,6/17/2021,169,150,6,7.488
113,Festival do Rio 2021,Festivais,Brasil,12/9/2021,6,4,2,7.478
114,"3º andar - Terror na rua Malasana, O",Paris,Espanha,11/12/2020,390,326,24,7.102
115,"Dona do barato, A",Imovision,França,9/23/2021,19,19,8,6.923
116,Dente por dente,Vitrine Filmes,Brasil,1/28/2021,122,109,5,6.572
117,Pixinguinha - Um homem carinhoso,DT/Paris,Brasil,11/11/2021,90,70,5,5.996
118,Minari - Em busca da felicidade,Diamond/Galeria,EUA,4/22/2021,47,42,21,5.933
119,Doutor Gama,Elo Studios,Brasil,8/5/2021,11,10,16,5.592
120,"Melhores anos de uma vida, Os",Pandora Filmes,França,6/24/2021,27,25,16,5.392
121,"Homem que vendeu sua pele, O",Pandora Filmes,Tunísia,10/7/2021,16,16,9,5.359
122,4x100 - Correndo por um sonho,Imovision,Brasil,6/24/2021,28,24,4,5.115
123,Possessão - O último estágio,Playarte,EUA,3/13/2020,272,223,19,5.054
124,"Tradutores, Os",Imovision,França,10/28/2021,21,18,6,4.791
125,"Tempo com você, O",Cinecolor,Japão,1/14/2021,2,2,2,4.737
126,Bagdá vive em mim,Arteplex Filmes,Suíça,9/2/2021,18,18,9,4.709
127,"Chorona, A",Elite Filmes,Guatemala,9/23/2021,98,93,2,4.574
128,Não olhe para cima,O2 Play,EUA,12/9/2021,46,36,4,4.508
129,Piedade,Art House Movies,Brasil,8/5/2021,18,18,19,4.238
130,Monsta X - The dreaming,Distribuição Própria,Coréia do Sul,12/9/2021,107,103,1,4.159
131,Meu fim. Seu começo.,Arteplex Filmes,Alemanha,9/30/2021,19,19,9,3.905
132,Deserto particular,Pandora Filmes,Brasil,11/25/2021,18,18,6,3.880
133,Festivais e Mostras 2021,Festivais,Brasil,3/4/2021,1,1,42,3.879
134,"História de família, Uma",Arteplex Filmes,EUA,10/28/2021,14,12,10,3.736
135,De volta à Itália,California,Reino Unido,10/28/2021,23,20,4,3.664
136,Abe,DT/Paris,EUA,8/5/2021,31,27,4,3.589
137,Druk - Mais uma rodada,Vitrine/Synapse,Dinamarca,3/25/2021,5,5,20,3.484
138,Fale com as abelhas,Arteplex Filmes,Inglaterra,1/21/2021,21,18,26,3.417
139,Reação em cadeia,DT/Paris,Brasil,9/16/2021,115,93,2,3.217
140,Cidadãos do mundo,Imovision,Itália,9/9/2021,20,19,6,3.034
141,Garota da moto,DT/Paris,Brasil,9/23/2021,131,108,2,2.930
142,Encarcerados,Gullane Distribuidora,Brasil,8/26/2021,16,15,3,2.804
143,"Amor, casamentos e outros desastres",California,EUA,5/20/2021,23,20,30,2.796
144,"Janela para o mar, Uma",Imovision,Espanha,10/14/2021,16,14,11,2.575
145,"Boa esposa, A",California,França,6/17/2021,21,19,8,2.393
146,Oasis Knebworth 1996,Distribuição Própria,EUA,9/23/2021,59,53,1,2.323
147,Tenet,Warner,Inglaterra,10/29/2020,1.068,458,38,2.239
148,Sibyl,Imovision,França,7/15/2021,12,11,11,2.066
149,Mangueira em 2 tempos,Arteplex Filmes,Brasil,8/5/2021,15,15,10,2.022
150,Unidas pela esperança,California,Reino Unido,1/14/2021,43,38,6,1.991
151,"Matemático, O",A2 Filmes,Alemanha,9/2/2021,16,16,4,1.958
152,"Labirinto, O",Pandora Filmes,Itália,8/12/2021,25,23,8,1.867
153,"Charlatão, O",A2 Filmes,República Tcheca,7/8/2021,16,14,5,1.805
154,"Maldição do espelho, A",Paris,Rússia,3/12/2020,404,335,50,1.778
155,Ema,Imovision,Chile,8/12/2021,18,18,8,1.776
156,"Bom doutor, O",Pandora Filmes,França,9/9/2021,24,23,5,1.768
157,Jogo do poder,California,França,8/12/2021,7,7,8,1.730
158,Sob as escadas de Paris,A2 Filmes,França,10/14/2021,8,8,4,1.664
159,"Última floresta, A",Gullane Distribuidora,Brasil,9/9/2021,5,5,9,1.621
160,"Silêncio da chuva, O",Elo Studios,Brasil,9/23/2021,20,20,5,1.559
161,Belle époque,Diamond/Galeria,França,12/3/2020,17,17,15,1.552
162,Imperdoável,Imagem,Reino Unido,11/25/2021,23,22,3,1.512
163,Charuto de mel,Imovision,França,11/11/2021,10,9,5,1.488
164,Cabeça de nêgo,Corte Seco Filmes,Brasil,10/21/2021,9,8,5,1.482
165,Irmãos à italiana,Pandora Filmes,Itália,7/22/2021,16,16,5,1.409
166,DNA,Vitrine Filmes,França,9/30/2021,50,41,13,1.402
167,Azor,Vitrine Filmes,Suíça,12/16/2021,14,13,3,1.401
168,Selvagem,Pietá Filmes,Brasil,12/2/2021,10,10,3,1.394
169,Nove dias,Sony,EUA,12/9/2021,10,10,4,1.375
170,Notre Dame,California,França,2/11/2021,53,45,26,1.367
171,"Divã na Tunísia, Um",Imovision,França,3/11/2021,0,0,21,1.360
172,Verão de 85,California,França,6/3/2021,54,45,10,1.348
173,Cavalo,Descoloniza/La Ursa,Brasil,8/12/2021,11,11,7,1.344
174,"Homem ideal, O",Diamond/Galeria,Alemanha,12/23/2021,6,6,2,1.314
175,"Candidata perfeita, A",Imovision,Arábia Saudita,8/26/2021,15,13,9,1.295
176,Andre Matos - O Maestro do Rock,Cinemark,Brasil,10/26/2021,5,3,6,1.282
177,Aranha,Pandora Filmes,Argentina,9/23/2021,17,14,8,1.263
178,Bob Cuspe - Nós não gostamos de gente,Vitrine Filmes,Brasil,11/11/2021,22,19,4,1.257
179,Curupira - O demônio da floresta,O2 Play,Brasil,10/28/2021,12,10,3,1.250
180,Enquanto estivermos juntos,Paris,EUA,11/19/2020,431,343,51,1.228
181,Missão cupido,H2O Films,Brasil,6/10/2021,26,24,2,1.194
182,"Crime em comum, Um",Vitrine Filmes,Argentina,1/14/2021,15,14,5,1.093
183,Alice e o prefeito,Imovision,França,5/27/2021,7,6,13,1.088
184,"Mão de deus, A",O2 Play,Itália,12/2/2021,13,12,5,1.077
185,Nós duas,Imovision,França,12/16/2021,13,11,3,1.043
186,Suk suk - Um amor em segredo,Vitrine Filmes,Hong Kong,9/9/2021,4,4,9,967
187,"Festival do amor, O",Imagem,Espanha,1/6/2022,95,80,0,960
188,John Wick - De volta ao jogo,Paris,EUA/Canadá/China,11/27/2014,249,214,366,947
189,Nunca mais nevará,Imovision,Polônia,8/19/2021,5,5,6,924
190,"Casal inseparável, Um",H2O Films,Brasil,9/9/2021,17,16,2,898
191,"Filho único do meu pai, O",D1 Realizações,Brasil,9/23/2021,6,4,4,878
192,"Parque dos sonhos, O",Paramount,EUA,3/14/2019,561,438,138,871
193,"Jardim secreto de Mariana, O",H2O Films,Brasil,9/30/2021,28,27,5,845
194,Edifício Gagarine,Vitrine Filmes,França,8/26/2021,13,13,5,845
195,Yalda - Uma noite de perdão,Imovision,França,12/9/2021,8,8,4,827
196,Shadow,Playarte,China,8/12/2021,13,11,4,816
197,Minha irmã,A2 Filmes,Suíça,1/28/2021,7,7,5,799
198,"Rei leão, O",Disney,EUA,7/18/2019,2.372,735,111,789
199,Luana Muniz - Filha da lua,Lira Filmes,Brasil,8/12/2021,9,8,4,784
200,Berlin Alexanderplatz,A2 Filmes,Alemanha,2/18/2021,9,9,3,773
201,Skin - À flor da pele,Bretz/MyMamma,EUA,1/7/2021,7,6,9,768
202,Undine,Imovision,Alemanha,12/23/2021,10,10,2,757
203,Mostra de Cinema Japonês 2021,Independente,Japão,12/3/2021,1,1,2,742
204,"Novos Mutantes, Os",Disney,EUA,10/22/2020,686,346,30,734
205,"If I Can't Have Love, I Want Power",Distribuição Própria,EUA,8/28/2021,2,2,1,730
206,Filho-mãe,Imovision,Irã,9/16/2021,6,6,14,725
207,É doce!,Playarte,Alemanha,10/15/2020,146,135,52,716
208,"Hava, Maryam, Ayesha",Imovision,Afeganistão,7/8/2021,5,5,12,713
209,8 Presidentes 1 juramento - A história de um tempo presente,Copacabana,Brasil,11/18/2021,8,8,3,712
210,Curral,Pandora Filmes,Brasil,11/11/2021,12,11,6,705
211,Meu nome é Bagdá,Pagu Pictures,Brasil,9/16/2021,4,4,5,700
212,Aladdin,Disney,EUA,5/23/2019,1.277,688,135,675
213,Hotel Transilvânia 3 - Férias monstruosas,Sony,EUA,7/12/2018,1.210,628,179,663
214,"Empregado e o patrão, O",Vitrine Filmes,Uruguai,8/12/2021,5,5,6,660
215,Seus olhos dizem,Sato Company,Japão,10/14/2021,14,14,2,637
216,"Última noite, A",Paris,Inglaterra,12/23/2021,21,12,2,631
217,Aznavour por Charles,Imovision,França,2/11/2021,6,6,26,630
218,Los lobos,Vitrine Filmes,México,9/16/2021,5,5,7,622
219,Invasão zumbi 2 - Península,Paris,Coréia do Sul,11/26/2020,463,359,12,621
220,"Salafrários, Os",DT/Paris,Brasil,1/14/2021,2,1,1,612
221,De volta para casa,Zeta Filmes,Coréia do Sul,9/9/2021,10,8,8,602
222,Frei Damião - O santo do nordeste,Elo Studios,Brasil,11/4/2021,6,5,2,589
223,First cow - A primeira vaca da América,Vitrine Filmes,EUA,6/10/2021,6,6,11,586
224,Annette,Distribuição Própria,EUA,12/23/2021,6,6,2,583
225,Anna,Imovision,Brasil,7/1/2021,10,10,3,569
226,Alvorada,Vitrine Filmes,Brasil,5/27/2021,14,12,19,565
227,Vento seco,Olhar Distribuição,Brasil,8/5/2021,4,4,3,560
228,Contos do amanhã,Europa,Brasil,12/9/2021,9,9,4,557
229,Chorão - Marginal alado,O2 Play,Brasil,4/8/2021,0,0,23,555
230,Galeria Futuro,H2O Films,Brasil,11/18/2021,20,18,4,554
231,Capitã Marvel,Disney,EUA,3/7/2019,2.305,714,146,549
232,Mais que especiais,California,França,2/25/2021,68,58,24,539
233,"Auto da compadecida, O (2000)",Globo Filmes,Brasil,6/26/2020,1,1,52,536
234,Lá vamos nós,Imovision,Israel,11/4/2021,6,5,2,530
235,Perfil de uma mulher,Zeta Filmes,Japão,1/28/2021,5,5,4,515
236,Que mal eu fiz a Deus? 2,A2 Filmes,França,12/2/2021,7,7,3,512
237,Enquanto houver amor,California,Reino Unido,11/18/2021,6,6,2,508
238,"Império de Pierre Cardin, O",Imovision,EUA,1/14/2021,6,6,36,507
239,Billie Eilish: The World's a Little Blurry,Cinemark,EUA,2/25/2021,30,28,1,506
240,Homem onça,Pandora Filmes,Brasil,8/26/2021,14,14,8,500
241,Apocalypse now - Final cut,Pandora Filmes,EUA,9/10/2020,5,5,49,491
242,Danças negras,Lira Filmes,Brasil,9/9/2021,5,5,7,491
243,Ataque dos cães,O2 Play,Reino Unido,11/18/2021,8,8,2,481
244,Homem-Aranha - Longe de casa,Sony,EUA,7/4/2019,1.926,671,129,475
245,Caros camaradas - Trabalhadores em luta,A2 Filmes,Rússia,7/29/2021,8,7,3,444
246,Dois irmãos - Uma jornada fantástica,Disney,EUA,3/5/2020,1.359,647,62,435
247,"Caso Richard Jewell, O",Warner,EUA,1/2/2020,137,105,63,424
248,Amigas de sorte,DT/Paris,Brasil,3/18/2021,1,1,1,415
249,Corgi - Top dog,Imagem,Bélgica,9/5/2019,512,419,111,411
250,Babenco - Alguém tem que ouvir o coração e dizer: parou,Imovision,Brasil,11/26/2020,49,44,28,402
251,"Noite do fogo, A",Vitrine Filmes,México,11/18/2021,10,10,4,396
252,Slalom - Até o limite,Vitrine Filmes,França,7/22/2021,45,39,14,394
253,Pokémon - Detetive Pikachu,Warner,EUA/ Japão,5/9/2019,1.001,572,136,390
254,Falling - Ainda há tempo,California,Canadá,12/2/2021,9,7,2,387
255,King Kong em Asunción,ArtHouse,Brasil,9/2/2021,13,13,15,386
256,Pacarrete,Vitrine Filmes,Brasil,11/26/2020,30,27,30,383
257,Homem-Aranha no Aranhaverso,Sony,EUA,1/10/2019,1.026,581,153,365
258,10 horas para o natal,DT/Paris,Brasil,12/10/2020,397,279,5,362
259,Nona - Se me molham eu os queimo,Vitrine Filmes,Chile,2/18/2021,10,10,3,360
260,"Mundo de Gloria, O",Imovision,França,2/25/2021,5,5,19,352
261,Pequena garota,Imovision,França,12/24/2020,5,5,8,334
262,"Ilha da fantasia, A",Sony,EUA,9/24/2020,133,99,22,333
263,"Tick, Tick…Boom!",Netflix,EUA,11/11/2021,4,3,1,333
264,Nem tudo se desfaz,Lavra Filmes,Brasil,9/23/2021,2,2,6,333
